-4.026468753814697266e+00,-1.068459641828667372e-05,-1.078887343406677246e+00
-4.811001777648925781e+00,-1.276642524317139760e-05,-1.110705614089965820e+00
-5.908862590789794922e+00,-1.567969775351230055e-05,-1.148564815521240234e+00
-7.649150371551513672e+00,-2.029770803346764296e-05,-1.211504578590393066e+00
-1.083079338073730469e+01,-2.874048186640720814e-05,-1.329852223396301270e+00
-1.719286155700683594e+01,-4.562280082609504461e-05,-1.504178285598754883e+00
-1.721447563171386719e+01,-4.568015719996765256e-05,-9.021711349487304688e-01
-1.723650169372558594e+01,-4.573860860546119511e-05,-3.008638322353363037e-01
-1.725904083251953125e+01,-4.579841333907097578e-05,3.012572228908538818e-01
-1.728086280822753906e+01,-4.585632268572226167e-05,9.056503176689147949e-01
-4.032220363616943359e+00,-5.772572755813598633e-02,-1.080539226531982422e+00
-4.799801349639892578e+00,-6.871450692415237427e-02,-1.108233332633972168e+00
-5.924144268035888672e+00,-8.481072634458541870e-02,-1.151653170585632324e+00
-7.675825595855712891e+00,-1.098879948258399963e-01,-1.215854048728942871e+00
-1.077784919738769531e+01,-1.542969197034835815e-01,-1.323487162590026855e+00
-1.721612930297851562e+01,-2.464680820703506470e-01,-1.506368279457092285e+00
-1.723826980590820312e+01,-2.467850297689437866e-01,-9.035106301307678223e-01
-1.726035308837890625e+01,-2.471011877059936523e-01,-3.013110160827636719e-01
-1.728237915039062500e+01,-2.474165260791778564e-01,3.016955256462097168e-01
-1.730529212951660156e+01,-2.477445304393768311e-01,9.070234894752502441e-01
-4.029306888580322266e+00,-1.153809800744056702e-01,-1.080090403556823730e+00
-4.795167446136474609e+00,-1.373117417097091675e-01,-1.107503771781921387e+00
-5.916323661804199219e+00,-1.694165319204330444e-01,-1.150486469268798828e+00
-7.660099983215332031e+00,-2.193503528833389282e-01,-1.213736176490783691e+00
-1.084944629669189453e+01,-3.106786906719207764e-01,-1.332688570022583008e+00
-1.723969459533691406e+01,-4.936662912368774414e-01,-1.508893847465515137e+00
-1.726143646240234375e+01,-4.942888617515563965e-01,-9.050030112266540527e-01
-1.728352165222167969e+01,-4.949212670326232910e-01,-3.018082082271575928e-01
-1.730606079101562500e+01,-4.955667257308959961e-01,3.022018074989318848e-01
-1.732777023315429688e+01,-4.961883425712585449e-01,9.084808230400085449e-01
-4.029248714447021484e+00,-1.731227636337280273e-01,-1.080628395080566406e+00
